Trait,Way,SoyDNGP,Cropformer,WheatGP,EGGPT,GEG2P(v3)
Flowering Time,avg,0.6316 ,0.6802 ,0.7253 ,0.6697 ,0.8230 
Yield,avg, 0.5369 , 0.5698 , 0.5594 , 0.5420 , 0.6162 
,,,,,,
Flowering Time,avg,0.8215 ,0.8714 ,0.9097 ,0.9044 ,0.9198 
Plant Architecture,avg,0.7862 ,0.8421 ,0.8598 ,0.8775 ,0.8849 
Yield,avg,0.3372 ,0.3484 ,0.3566 ,0.4256 ,0.4491 
,,,,,,
Flowering Time,avg,0.4480 ,0.4371 ,0.4660 ,0.4785 ,0.5125 
Plant Architecture,avg,0.5607 ,0.5546 ,0.5661 ,0.5741 ,0.6041 
Yield,avg,0.4409 ,0.4525 ,0.4249 ,0.4645 ,0.4823 
,,,,,,
Flowering Time,avg,0.7504 ,0.8196 ,0.8123 ,0.8325 ,0.8552 
Plant Architecture,avg,0.6837 ,0.7620 ,0.7574 ,0.7777 ,0.8092 
Yield,avg,0.5147 ,0.6297 ,0.4721 ,0.6558 ,0.7068 
,,,,,,
Flowing Time,avg,0.3551 ,0.5255 ,0.3576 ,0.6514 ,0.6726 
Plant Architecture,avg,0.3248 ,0.6172 ,0.4636 ,0.6793 ,0.7086 
Yield,avg,0.2345 ,0.4772 ,0.2301 ,0.5733 ,0.5983 
