gMLP	SVR	SPLS	XGBoost	BayesA
Zm00001d027288	Zm00001d027265	Zm00001d027265	Zm00001d027230	Zm00001d027267
Zm00001d027307	Zm00001d027293	Zm00001d027266	Zm00001d027256	Zm00001d027273
Zm00001d027320	Zm00001d027312	Zm00001d027273	Zm00001d027257	Zm00001d027285
Zm00001d027324	Zm00001d027324	Zm00001d027285	Zm00001d027259	Zm00001d027288
Zm00001d027325	Zm00001d027343	Zm00001d027293	Zm00001d027265	Zm00001d027293
Zm00001d027326	Zm00001d027344	Zm00001d027296	Zm00001d027266	Zm00001d027296
Zm00001d027334	Zm00001d027352	Zm00001d027307	Zm00001d027267	Zm00001d027307
Zm00001d027337	Zm00001d027362	Zm00001d027318	Zm00001d027285	Zm00001d027318
Zm00001d027347	Zm00001d027384	Zm00001d027324	Zm00001d027286	Zm00001d027320
Zm00001d027349	Zm00001d027386	Zm00001d027329	Zm00001d027293	Zm00001d027325
Zm00001d027367	Zm00001d027403	Zm00001d027333	Zm00001d027296	Zm00001d027326
Zm00001d027401	Zm00001d027412	Zm00001d027361	Zm00001d027307	Zm00001d027329
Zm00001d027412	Zm00001d027448	Zm00001d027394	Zm00001d027318	Zm00001d027361
Zm00001d027422	Zm00001d027451	Zm00001d027401	Zm00001d027319	Zm00001d027362
Zm00001d027472	Zm00001d027460	Zm00001d027403	Zm00001d027320	Zm00001d027392
Zm00001d027479	Zm00001d027466	Zm00001d027411	Zm00001d027324	Zm00001d027394
Zm00001d027544	Zm00001d027472	Zm00001d027412	Zm00001d027329	Zm00001d027401
Zm00001d027555	Zm00001d027486	Zm00001d027422	Zm00001d027334	Zm00001d027403
Zm00001d027558	Zm00001d027506	Zm00001d027460	Zm00001d027340	Zm00001d027412
Zm00001d027571	Zm00001d027515	Zm00001d027472	Zm00001d027343	Zm00001d027422
Zm00001d027595	Zm00001d027519	Zm00001d027479	Zm00001d027349	Zm00001d027427
Zm00001d027630	Zm00001d027544	Zm00001d027506	Zm00001d027351	Zm00001d027428
Zm00001d027648	Zm00001d027556	Zm00001d027544	Zm00001d027353	Zm00001d027430
Zm00001d027682	Zm00001d027571	Zm00001d027580	Zm00001d027361	Zm00001d027444
Zm00001d027709	Zm00001d027622	Zm00001d027581	Zm00001d027362	Zm00001d027451
Zm00001d027741	Zm00001d027624	Zm00001d027582	Zm00001d027366	Zm00001d027460
Zm00001d027809	Zm00001d027630	Zm00001d027588	Zm00001d027369	Zm00001d027472
Zm00001d027847	Zm00001d027656	Zm00001d027595	Zm00001d027376	Zm00001d027479
Zm00001d027861	Zm00001d027676	Zm00001d027596	Zm00001d027384	Zm00001d027506
Zm00001d027884	Zm00001d027755	Zm00001d027622	Zm00001d027385	Zm00001d027512
Zm00001d027886	Zm00001d027799	Zm00001d027624	Zm00001d027394	Zm00001d027515
Zm00001d027887	Zm00001d027801	Zm00001d027628	Zm00001d027401	Zm00001d027532
Zm00001d027897	Zm00001d027803	Zm00001d027630	Zm00001d027412	Zm00001d027533
Zm00001d027903	Zm00001d027838	Zm00001d027648	Zm00001d027462	Zm00001d027534
Zm00001d027924	Zm00001d027848	Zm00001d027656	Zm00001d027466	Zm00001d027544
Zm00001d027938	Zm00001d027861	Zm00001d027667	Zm00001d027468	Zm00001d027556
Zm00001d027967	Zm00001d027884	Zm00001d027683	Zm00001d027472	Zm00001d027571
Zm00001d028004	Zm00001d027886	Zm00001d027699	Zm00001d027479	Zm00001d027580
Zm00001d028036	Zm00001d027904	Zm00001d027722	Zm00001d027480	Zm00001d027588
Zm00001d028085	Zm00001d027936	Zm00001d027732	Zm00001d027485	Zm00001d027595
Zm00001d028096	Zm00001d027937	Zm00001d027734	Zm00001d027489	Zm00001d027596
Zm00001d028152	Zm00001d027950	Zm00001d027741	Zm00001d027503	Zm00001d027622
Zm00001d028153	Zm00001d028005	Zm00001d027748	Zm00001d027512	Zm00001d027624
Zm00001d028169	Zm00001d028018	Zm00001d027760	Zm00001d027515	Zm00001d027626
Zm00001d028170	Zm00001d028019	Zm00001d027799	Zm00001d027523	Zm00001d027628
Zm00001d028173	Zm00001d028034	Zm00001d027801	Zm00001d027532	Zm00001d027630
Zm00001d028180	Zm00001d028036	Zm00001d027802	Zm00001d027544	Zm00001d027656
Zm00001d028191	Zm00001d028054	Zm00001d027807	Zm00001d027570	Zm00001d027683
Zm00001d028210	Zm00001d028062	Zm00001d027809	Zm00001d027581	Zm00001d027709
